main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
COMPUTERS,"Internet activity, secret surveillance scores based on, agencies/organizations creating, requirements",https://app.leg.wa.gov/billsummary?BillNumber=5108&Year=2021&Initiative=false,SB 5108,Law & Justice,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning organizations and agencies that produce secret surveillance scores based on individuals' internet activity.,"Ericksen, Holy",No Requester,0,1
COMPUTERS,"Internet crimes against children task force, recommendations of, implementing",https://app.leg.wa.gov/billsummary?BillNumber=5572&Year=2021&Initiative=false,Substitute - SSB 5572,Rules 3,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Implementing the recommendations of the Washington state internet crimes against children task force.,"Claire Wilson, Dhingra, Conway, Honeyford, Hunt, Randall, Wagoner",No Requester,5,4
COMPUTERS,"Internet, access to, increasing via telecommunications permitting/taxation/standards modifications",https://app.leg.wa.gov/billsummary?BillNumber=5110&Year=2021&Initiative=false,SB 5110,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Promoting greater access to the internet by modifying permitting, taxation, and other standards for telecommunications companies and facilities.",Ericksen,No Requester,0,0
COMPUTERS,"Internet, broadband services, adoption of, creating digital equity opportunity program to advance",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
COMPUTERS,"Internet, broadband services, anchor institution digital equity program, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
COMPUTERS,"Internet, broadband services, open access networks, grant/loan program for developing",https://app.leg.wa.gov/billsummary?BillNumber=5586&Year=2021&Initiative=false,SB 5586,"Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the authority of the community economic revitalization board.,"Frockt, Hasegawa, Mullet, Nguyen",No Requester,4,0
COMPUTERS,"Internet, broadband services, provider data caps during state of emergency, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5470&Year=2021&Initiative=false,SB 5470,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prohibiting broadband internet access service providers from applying data caps during a state of emergency.,"Rivers, Nguyen, Linda Wilson",No Requester,2,3
COMPUTERS,"Internet, broadband services, providing to unserved areas via infrastructure, tax credits for",https://app.leg.wa.gov/billsummary?BillNumber=5110&Year=2021&Initiative=false,SB 5110,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Promoting greater access to the internet by modifying permitting, taxation, and other standards for telecommunications companies and facilities.",Ericksen,No Requester,0,0
COMPUTERS,"Internet, broadband services, retail, in unserved areas, provided by public entities, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=1336&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1336,294 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Creating and expanding unrestricted authority for public entities to provide telecommunications services to end users.,"Hansen, Ybarra, Berry, Simmons, Ramel, Valdez, Leavitt, Morgan, Ryu, Peterson, Shewmake, Davis, Ormsby, Gilday, Stonier, Eslick, Pollet, Harris-Talley",No Requester,14,4
COMPUTERS,"Internet, broadband services, retail, in unserved areas, provided by public utility districts, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
