main_topic,description_1,bill_link,bill_name,current_status,house_progress,senate_progress,after_passage_progress,description_2,sponsors,requester,democrat_sponsor_count,republican_sponsor_count
TELECOMMUNICATIONS,"Broadband fiber connections, missing, and inadequate service in unserved/underserved areas, addressing via highways",https://app.leg.wa.gov/billsummary?BillNumber=1457&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1457,258 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Facilitating the installation of broadband facilities on limited access highways.,"Wylie, Riccelli, Kloba, Santos, Slatter, Shewmake, Ramel, Hackney",No Requester,7,0
TELECOMMUNICATIONS,"Broadband fiber deployment, microtrenching for, city-town-county authority to allow",https://app.leg.wa.gov/billsummary?BillNumber=5775&Year=2021&Initiative=false,SB 5775,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the acceleration of broadband deployment.,"Wellman, Short, Conway, Lovelett, Lovick, Nguyen, Nobles, Claire Wilson",No Requester,7,3
TELECOMMUNICATIONS,"Broadband infrastructure, capital broadband investment acceleration program, creating",https://app.leg.wa.gov/billsummary?BillNumber=5357&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5357,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Establishing and making appropriations for the capital broadband investment acceleration program.,"Honeyford, King, Wagoner, Wellman, Linda Wilson",No Requester,2,5
TELECOMMUNICATIONS,"Broadband infrastructure, rural infrastructure grant program for entities in rural counties to include",https://app.leg.wa.gov/billsummary?BillNumber=1263&Year=2021&Initiative=false,2nd Substitute - 2SHB 1263,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning rural infrastructure.,"Abbarno, Barkis, Dent, McEntire, Mosbrucker, Ybarra, Eslick, Boehnke, Gilday",No Requester,0,9
TELECOMMUNICATIONS,"Broadband infrastructure, rural infrastructure grant program for local governments in rural counties to include",https://app.leg.wa.gov/billsummary?BillNumber=1263&Year=2021&Initiative=false,2nd Substitute - 2SHB 1263,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning rural infrastructure.,"Abbarno, Barkis, Dent, McEntire, Mosbrucker, Ybarra, Eslick, Boehnke, Gilday",No Requester,0,9
TELECOMMUNICATIONS,"Broadband installation along highways, informing facility owners of projects to enable coordination, when",https://app.leg.wa.gov/billsummary?BillNumber=5439&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5439,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Facilitating the coordinated installation of broadband along state highways.,"Saldaña, Kuderer, Lovelett, Nguyen",No Requester,4,0
TELECOMMUNICATIONS,"Broadband installation along state highways, provider registration for coordinating, when",https://app.leg.wa.gov/billsummary?BillNumber=5439&Year=2021&Initiative=false,Engrossed Substitute - ESSB 5439,Rules X,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Facilitating the coordinated installation of broadband along state highways.,"Saldaña, Kuderer, Lovelett, Nguyen",No Requester,4,0
TELECOMMUNICATIONS,"Broadband internet services, providing to unserved areas via infrastructure, tax credits for",https://app.leg.wa.gov/billsummary?BillNumber=5110&Year=2021&Initiative=false,SB 5110,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']","Promoting greater access to the internet by modifying permitting, taxation, and other standards for telecommunications companies and facilities.",Ericksen,No Requester,0,0
TELECOMMUNICATIONS,"Broadband internet services, virtual private network service, provider to offer",https://app.leg.wa.gov/billsummary?BillNumber=5112&Year=2021&Initiative=false,SB 5112,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Requiring broadband internet access service providers to provide virtual private network service.,Ericksen,No Requester,0,0
TELECOMMUNICATIONS,"Broadband office, governor's statewide, duties of, various",https://app.leg.wa.gov/billsummary?BillNumber=5715&Year=2021&Initiative=false,SB 5715,237 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the definition of broadband or broadband service.,"Wellman, Sheldon, Randall, Claire Wilson",No Requester,4,2
TELECOMMUNICATIONS,"Broadband services, adoption of, creating digital equity opportunity program to advance",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
TELECOMMUNICATIONS,"Broadband services, anchor institution digital equity program, establishing",https://app.leg.wa.gov/billsummary?BillNumber=1723&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1723,265 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']","Closing the digital equity divide by increasing the accessibility and affordability of telecommunications services, devices, and training.","Gregerson, Taylor, Ryu, Jesse Johnson, Berry, Valdez, Goodman, Macri, Peterson, Ramel, Simmons, Wylie, Slatter, Bergquist, Pollet, Ortiz-Self, Dolan, Stonier, Riccelli, Ormsby, Harris-Talley, Hackney, Kloba, Frame",No Requester,24,1
TELECOMMUNICATIONS,"Broadband services, definitions of ""broadband"" and, transmission speed for purposes of, raising minimum",https://app.leg.wa.gov/billsummary?BillNumber=5715&Year=2021&Initiative=false,SB 5715,237 L 22,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Modifying the definition of broadband or broadband service.,"Wellman, Sheldon, Randall, Claire Wilson",No Requester,4,2
TELECOMMUNICATIONS,"Broadband services, open access networks, grant/loan program for developing",https://app.leg.wa.gov/billsummary?BillNumber=5586&Year=2021&Initiative=false,SB 5586,"Business, Fina","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning the authority of the community economic revitalization board.,"Frockt, Hasegawa, Mullet, Nguyen",No Requester,4,0
TELECOMMUNICATIONS,"Broadband services, provider data caps during state of emergency, prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=5470&Year=2021&Initiative=false,SB 5470,"Environment, E","['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Prohibiting broadband internet access service providers from applying data caps during a state of emergency.,"Rivers, Nguyen, Linda Wilson",No Requester,2,3
TELECOMMUNICATIONS,"Broadband services, retail, in unserved areas, provided by public entities, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=1336&Year=2021&Initiative=false,Engrossed Substitute - ESHB 1336,294 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Creating and expanding unrestricted authority for public entities to provide telecommunications services to end users.,"Hansen, Ybarra, Berry, Simmons, Ramel, Valdez, Leavitt, Morgan, Ryu, Peterson, Shewmake, Davis, Ormsby, Gilday, Stonier, Eslick, Pollet, Harris-Talley",No Requester,14,4
TELECOMMUNICATIONS,"Broadband services, retail, in unserved areas, provided by public utility districts, authority/process for",https://app.leg.wa.gov/billsummary?BillNumber=5383&Year=2021&Initiative=false,2nd Substitute - 2SSB 5383,293 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Authorizing a public utility district to provide retail telecommunications services in unserved areas under certain conditions.,"Wellman, Short, Hunt, King, Lovelett, Nguyen, Randall, Saldaña, Warnick, Claire Wilson, Linda Wilson",No Requester,7,5
