REAL ESTATE AND REAL PROPERTY,"Deeds/covenants, existing, racial/other restrictions against protected classes in, identifying of",https://app.leg.wa.gov/billsummary?BillNumber=1335&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1335,256 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning review and property owner notification of recorded documents with unlawful racial restrictions.,"Valdez, Rude, Berry, Fitzgibbon, Morgan, Santos, Shewmake, Davis, Berg, Gilday, Bergquist, Fey, Bateman, Lekanoff, Lovick, Callan, Riccelli, Rule, Pollet, Senn, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Deeds/covenants, existing, racial/other restrictions against protected classes in, realtor notice to purchaser",https://app.leg.wa.gov/billsummary?BillNumber=1335&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1335,256 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning review and property owner notification of recorded documents with unlawful racial restrictions.,"Valdez, Rude, Berry, Fitzgibbon, Morgan, Santos, Shewmake, Davis, Berg, Gilday, Bergquist, Fey, Bateman, Lekanoff, Lovick, Callan, Riccelli, Rule, Pollet, Senn, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Deeds/covenants, existing, racial/other restrictions against protected classes in, seller notice to purchaser",https://app.leg.wa.gov/billsummary?BillNumber=1335&Year=2021&Initiative=false,Engrossed 2nd Substitute - E2SHB 1335,256 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Concerning review and property owner notification of recorded documents with unlawful racial restrictions.,"Valdez, Rude, Berry, Fitzgibbon, Morgan, Santos, Shewmake, Davis, Berg, Gilday, Bergquist, Fey, Bateman, Lekanoff, Lovick, Callan, Riccelli, Rule, Pollet, Senn, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Deeds/covenants, restrictive, , prohibition of types of housing city required to allow under GMA , prohibiting",https://app.leg.wa.gov/billsummary?BillNumber=1981&Year=2021&Initiative=false,Substitute - SHB 1981,Rules C,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning local government planning.,"Pollet, Ryu, Santos",No Requester
REAL ESTATE AND REAL PROPERTY,"Disclosure statement, commercial/residential transactions, requirements and seller liability, modifying",https://app.leg.wa.gov/billsummary?BillNumber=1951&Year=2021&Initiative=false,Substitute - SHB 1951,Rules R,"['0', '0', '0', '0']","['0', '0', '0', '0']","['0', '0', '0', '0']",Concerning seller disclosure statements.,"Morgan, Fitzgibbon, Orwall, McEntire, Ryu, Ormsby, Kloba, Harris-Talley",No Requester
REAL ESTATE AND REAL PROPERTY,"Disclosure statement, high-speed internet access availability disclosure in",https://app.leg.wa.gov/billsummary?BillNumber=1064&Year=2021&Initiative=false,Substitute - SHB 1064,25 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring the disclosure of high-speed internet access availability in the seller's disclosure statement.,"Eslick, Kloba, Leavitt, Wylie, Gregerson, Ryu, Young, Robertson, Kirby, Fey",No Requester
REAL ESTATE AND REAL PROPERTY,"Flipping, offering for sale within 12 months of purchase, electrical license/certified electrician for electrical work",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Wilson, C.",No Requester
REAL ESTATE AND REAL PROPERTY,"Flipping, offering for sale within 12 months of purchase, telecommunications contractor license for work when",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Wilson, C.",No Requester
REAL ESTATE AND REAL PROPERTY,"Flipping, offering for sale within 24 months of purchase, electrical license/certified electrician for electrical work",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Wilson, C.",No Requester
REAL ESTATE AND REAL PROPERTY,"Flipping, offering for sale within 24 months of purchase, telecommunications contractor license for work when",https://app.leg.wa.gov/billsummary?BillNumber=5267&Year=2021&Initiative=false,Substitute - SSB 5267,51 L 21,"['1', '1', '1', '1']","['1', '1', '1', '1']","['1', '1', '1', '1']",Requiring electrical licensing for electrical work associated with flipping property.,"Saldaña, Stanford, Conway, Das, Hasegawa, Keiser, Kuderer, Wilson, C.",No Requester
